id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts21806,2011,21,"['comedy', 'romance']",3,7.8,39021
ts19031,2011,42,"['action', 'drama', 'scifi', 'thriller']",5,7.1,90588
ts14405,2011,27,"['drama', 'comedy', 'romance']",2,7.6,9440
ts9006,2011,10,"['animation', 'scifi', 'comedy', 'family', 'fantasy', 'romance']",6,8.3,34428
ts20574,2011,23,"['animation', 'family', 'comedy']",2,7.7,13972
ts954,2011,22,"['comedy', 'reality']",6,7.8,2527
ts34727,2011,13,"['scifi', 'animation', 'comedy', 'horror', 'music']",12,8.5,973
ts26916,2012,34,['documentation'],1,7.2,172
ts21041,2012,29,"['drama', 'comedy']",6,7.4,73837
ts21324,2011,67,['drama'],1,7.6,22432
ts9986,2011,13,"['action', 'comedy']",3,7.4,2074
ts20603,2011,10,"['action', 'scifi', 'crime', 'fantasy', 'thriller']",2,7.4,9648
ts20391,2012,43,"['drama', 'action', 'crime']",6,7.7,14790
ts21101,2012,59,"['drama', 'war', 'history', 'action', 'romance', 'european']",1,7.5,10404
ts26754,2012,46,"['documentation', 'crime']",1,7.8,267
ts465,2012,24,"['comedy', 'action', 'crime', 'drama', 'animation']",2,8.1,4641
ts10822,2012,22,"['action', 'scifi', 'family', 'animation', 'comedy']",8,6.2,5993
ts20440,2011,22,"['action', 'scifi', 'animation', 'family']",1,8.0,7104
ts28066,2012,12,['comedy'],3,6.9,2450
ts20654,2012,53,"['drama', 'sport']",2,7.4,5960
ts20680,2011,51,"['action', 'crime', 'drama', 'thriller']",2,7.9,1236
ts21805,2011,12,"['comedy', 'horror']",3,6.5,1364
ts58273,2012,27,['comedy'],1,7.4,49
ts77142,2011,31,"['drama', 'romance', 'comedy']",2,7.8,985
ts12221,2011,20,"['animation', 'comedy']",3,7.1,2458
ts357994,2012,4,['comedy'],1,7.7,203
ts51419,2011,104,['documentation'],1,0.0,0
ts35803,2012,30,['documentation'],1,6.5,22
ts87180,2012,15,['comedy'],1,7.2,44
ts20233,2013,22,"['animation', 'scifi', 'action', 'comedy']",6,9.1,540708
ts20054,2014,60,"['drama', 'crime', 'thriller']",4,8.9,583719
ts20735,2014,31,"['comedy', 'reality', 'history']",10,8.9,90706
ts20275,2014,58,"['scifi', 'drama', 'fantasy', 'thriller']",3,8.3,102051
ts13608,2013,51,"['drama', 'thriller', 'action', 'crime']",4,8.4,108017
ts9325,2013,44,['documentation'],12,8.8,6434
ts20760,2014,29,['comedy'],6,8.5,153896
ts37645,2013,25,"['documentation', 'comedy']",4,8.9,32715
ts20079,2014,11,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",1,8.8,59611
ts20732,2014,54,"['drama', 'history']",2,8.5,49846
ts20292,2014,43,"['scifi', 'crime', 'drama', 'thriller', 'action']",5,7.8,233081
ts20113,2013,11,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",6,8.2,35237
ts20303,2014,47,"['drama', 'thriller', 'crime', 'european']",5,8.7,41062
ts20287,2014,60,['drama'],1,8.3,23734
ts20255,2014,28,"['comedy', 'drama', 'romance']",2,8.2,20004
ts10932,2014,22,['comedy'],6,7.5,2425
ts35726,2013,16,"['scifi', 'comedy', 'action', 'family', 'crime', 'animation', 'fantasy']",8,5.4,22200
ts20367,2014,11,"['animation', 'comedy', 'horror']",4,7.3,9187
ts8959,2013,43,['reality'],5,8.1,3228
ts123577,2014,20,['family'],3,6.6,513
ts32076,2013,11,"['comedy', 'fantasy', 'animation']",4,7.8,2822
ts20349,2014,53,"['drama', 'thriller', 'crime', 'european']",3,8.7,10636
ts79014,2013,47,['documentation'],3,6.9,69
ts58470,2014,13,"['comedy', 'horror']",2,7.8,2437
ts44191,2014,38,"['thriller', 'drama', 'horror']",2,5.4,135
ts41319,2013,53,"['action', 'crime', 'drama', 'thriller']",4,8.2,993
ts222,2014,21,['comedy'],3,7.0,3653
ts20095,2013,28,['comedy'],3,7.8,3732
ts3139,2013,22,"['action', 'scifi', 'animation', 'crime', 'drama']",1,7.3,4410
ts11963,2014,14,"['comedy', 'family', 'animation']",3,6.8,10242
ts32574,2013,29,['comedy'],1,7.4,12946
ts35391,2013,53,"['drama', 'comedy']",4,8.0,1705
ts10750,2013,22,['comedy'],1,7.4,3560
ts57181,2014,24,"['comedy', 'family', 'european']",3,6.8,329
ts43915,2014,34,"['comedy', 'romance', 'european']",2,6.9,153
ts84205,2014,28,"['documentation', 'family']",1,6.6,53
ts87176,2014,51,['documentation'],1,7.0,7
ts38802,2016,65,"['thriller', 'drama', 'crime']",1,8.5,141124
ts21650,2015,45,"['documentation', 'crime']",1,8.6,47685
ts79258,2015,55,['reality'],6,8.6,1133
ts41288,2016,48,"['drama', 'thriller', 'crime']",2,8.0,11153
ts46210,2016,32,"['drama', 'comedy', 'romance']",5,8.0,19584
ts41158,2016,25,"['comedy', 'crime', 'drama', 'thriller', 'romance']",5,7.6,12212
ts138722,2015,36,"['documentation', 'reality']",1,5.6,27
ts38803,2016,31,['comedy'],2,8.0,27809
ts41827,2016,59,"['drama', 'european']",1,8.3,45112
ts38383,2015,23,"['comedy', 'history', 'documentation', 'animation']",3,8.1,7141
ts35552,2015,29,"['drama', 'comedy', 'sport']",5,7.6,45258
ts271031,2016,58,['documentation'],1,7.1,447
ts42041,2016,29,"['comedy', 'drama']",3,5.8,5
ts37956,2015,22,"['animation', 'thriller', 'family', 'comedy']",2,6.6,2539
ts38071,2015,23,"['comedy', 'european']",2,7.7,9903
ts236014,2015,43,[],1,0.0,0
ts36687,2015,13,"['comedy', 'family', 'fantasy', 'animation']",4,7.9,16747
ts41920,2016,23,"['comedy', 'documentation', 'drama']",4,8.1,9546
ts36418,2015,60,"['crime', 'war', 'history', 'drama']",1,8.0,11422
ts55614,2016,12,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",5,2.9,5154
ts42088,2016,22,['comedy'],8,5.9,6630
ts38806,2016,26,"['animation', 'comedy']",3,7.3,4060
ts21887,2015,27,"['comedy', 'romance', 'drama']",2,7.5,8893
ts35766,2015,52,['drama'],3,7.6,432
ts38716,2016,14,"['action', 'family', 'animation', 'fantasy', 'scifi', 'thriller', 'comedy']",3,3.5,4760
ts47398,2015,38,"['thriller', 'fantasy', 'horror']",3,7.1,16
ts42285,2015,9,"['comedy', 'family', 'animation']",3,5.7,1078
ts11807,2015,60,['drama'],1,6.5,3158
ts37136,2015,56,"['scifi', 'drama', 'fantasy', 'documentation']",2,6.8,207
ts53390,2015,54,"['crime', 'thriller', 'european']",1,7.3,297
ts37709,2015,11,"['animation', 'comedy', 'family']",1,6.7,176
ts37055,2015,22,"['documentation', 'reality', 'comedy']",6,6.3,412
ts41277,2016,29,"['reality', 'comedy']",1,8.6,2775
ts55708,2016,35,"['drama', 'comedy']",1,7.6,60
ts41505,2016,51,['thriller'],1,6.6,73
ts127358,2016,23,['comedy'],2,5.0,144
ts134873,2015,11,['comedy'],1,0.0,0
ts133640,2016,23,['comedy'],3,2.7,410
ts249017,2015,43,['comedy'],3,7.2,394
ts58311,2017,59,"['drama', 'crime', 'thriller']",5,7.9,19948
ts57131,2017,19,['comedy'],6,7.6,67629
ts77979,2018,64,"['drama', 'reality']",4,8.8,160425
ts74799,2018,32,"['comedy', 'drama', 'crime', 'action']",3,8.4,86916
ts41275,2017,50,"['drama', 'crime']",2,8.5,184531
ts55577,2018,55,"['drama', 'crime', 'thriller']",1,8.1,91210
ts77107,2018,45,"['action', 'scifi', 'drama', 'fantasy', 'crime']",4,7.6,103967
ts79780,2018,58,"['drama', 'romance', 'family', 'european']",3,8.6,15909
ts82051,2018,22,"['comedy', 'crime', 'fantasy', 'horror']",4,7.7,4453
ts58408,2017,24,['comedy'],3,8.0,5861
ts57172,2018,47,"['drama', 'crime']",2,7.7,55907
ts82034,2018,26,['comedy'],3,7.6,4225
ts42172,2017,65,['drama'],3,8.1,29918
ts83292,2018,32,"['comedy', 'scifi', 'drama', 'fantasy']",2,6.8,759
ts81460,2018,12,['comedy'],3,8.9,2970
ts57021,2017,51,"['drama', 'crime', 'european']",3,8.2,8441
ts80189,2018,103,['documentation'],1,0.0,0
ts85393,2018,51,"['action', 'drama']",1,6.1,384
ts57223,2017,55,"['drama', 'crime', 'horror', 'thriller']",3,7.8,1309
ts84626,2018,52,"['thriller', 'drama', 'horror']",2,5.7,565
ts80656,2018,11,"['action', 'animation', 'comedy', 'drama', 'family']",4,7.4,2746
ts81426,2018,30,"['comedy', 'drama']",1,8.7,364
ts77618,2018,58,['comedy'],2,5.8,654
ts83827,2018,48,['comedy'],2,7.2,376
ts58115,2017,25,"['thriller', 'drama', 'fantasy', 'horror', 'scifi', 'comedy']",4,6.1,5908
ts86524,2018,11,"['comedy', 'animation', 'fantasy', 'horror', 'scifi']",2,8.1,2329
ts75234,2017,59,"['war', 'drama', 'history', 'european']",1,6.6,10833
ts80953,2018,50,"['drama', 'crime']",1,6.9,1185
ts78064,2018,29,"['comedy', 'documentation']",2,6.8,462
ts54077,2017,30,"['comedy', 'drama']",3,7.6,7884
ts235382,2017,7,"['animation', 'comedy']",3,8.5,123
ts87128,2017,28,['documentation'],1,6.8,51
ts79875,2018,11,"['animation', 'comedy', 'family', 'music']",3,5.5,1676
ts77594,2018,50,"['drama', 'thriller', 'crime', 'documentation']",1,6.4,3491
