id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts8226,2010,28,['comedy'],4,7.1,1570
ts22486,2010,47,['reality'],13,7.2,5084
ts21197,2008,44,"['drama', 'fantasy', 'scifi', 'action', 'european']",5,7.9,83612
ts10913,2004,58,"['drama', 'comedy', 'crime']",5,8.5,47510
ts20588,2009,44,"['drama', 'scifi', 'action']",2,7.6,51430
ts21969,2001,22,"['scifi', 'comedy', 'drama', 'family', 'horror', 'animation', 'action']",2,8.4,21790
ts31938,2004,24,"['thriller', 'action', 'scifi', 'comedy', 'fantasy', 'horror', 'european']",1,8.5,19062
ts21776,2003,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",5,7.9,34016
ts31200,2001,108,"['documentation', 'history', 'music', 'european']",1,8.6,2356
ts15638,2004,26,"['scifi', 'drama', 'romance', 'horror', 'comedy', 'action', 'animation', 'thriller']",2,7.9,34376
ts15877,2009,72,"['reality', 'sport', 'action', 'animation']",14,8.0,124
ts285824,2005,53,"['reality', 'documentation']",8,5.3,1836
ts68641,2005,46,"['documentation', 'reality']",6,7.2,104
ts26612,2005,29,"['drama', 'comedy', 'family', 'music', 'romance']",3,6.3,1000
ts31616,2004,47,"['documentation', 'drama', 'horror']",1,7.2,35
ts75800,2001,12,"['animation', 'comedy', 'family']",3,7.6,691
ts63639,2002,48,['documentation'],1,0.0,0
ts21623,2001,47,"['drama', 'comedy', 'european']",4,7.8,3685
ts30211,2010,30,"['family', 'drama']",1,7.6,325
ts13620,2001,22,"['comedy', 'romance']",8,6.5,36946
ts29527,2010,20,"['animation', 'family', 'european']",3,4.5,152
ts32186,2003,21,"['action', 'family', 'animation', 'comedy', 'fantasy', 'scifi', 'drama', 'thriller']",3,6.2,5003
ts22301,2007,46,"['scifi', 'drama', 'fantasy', 'crime']",3,7.6,5311
ts11540,2008,4,['comedy'],1,8.4,8987
ts30470,2010,22,"['comedy', 'horror']",1,7.3,1562
ts22318,2004,23,"['scifi', 'action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",8,6.2,6700
ts20867,2002,44,"['drama', 'thriller', 'crime']",3,7.4,2456
ts8639,2001,47,"['reality', 'thriller', 'action']",7,5.6,6928
ts7461,2009,44,"['reality', 'romance']",2,3.3,391
ts25510,2005,47,"['action', 'documentation', 'drama', 'history']",6,8.3,18
ts30508,2010,51,"['drama', 'thriller']",2,8.3,2506
ts22224,2001,44,"['drama', 'western', 'romance']",8,7.3,6252
ts33627,2007,48,"['drama', 'thriller']",1,6.9,1234
ts30378,2010,45,"['drama', 'comedy', 'history']",3,7.9,1430
ts82184,2002,1,"['comedy', 'family', 'animation', 'european']",1,7.6,3084
ts20553,2008,45,"['drama', 'crime', 'history', 'action', 'sport', 'comedy']",6,8.1,5000
ts33559,2007,7,"['comedy', 'animation', 'family', 'european']",6,8.1,42
ts21434,2010,55,"['drama', 'comedy']",5,8.5,8159
ts12699,2010,57,"['drama', 'action', 'thriller', 'scifi']",1,5.7,1427
ts15414,2010,25,"['comedy', 'drama', 'family', 'music', 'romance']",3,8.0,4847
ts24346,2009,59,"['documentation', 'history']",1,8.7,673
ts23575,2009,90,['documentation'],1,0.0,0
ts16487,2004,56,"['reality', 'documentation']",1,7.4,229
ts16264,2006,44,['documentation'],3,8.4,982
ts30266,2010,46,['reality'],1,7.4,32
ts21688,2009,64,"['comedy', 'drama', 'romance']",1,7.8,12768
ts26322,2008,30,"['animation', 'romance', 'comedy', 'drama']",2,8.0,16549
ts23955,2002,22,"['scifi', 'comedy', 'family', 'fantasy']",4,8.0,1405
ts23944,2002,23,"['scifi', 'animation', 'comedy']",4,6.5,83
ts35211,2008,45,"['action', 'comedy']",2,8.5,716
ts21615,2001,22,"['drama', 'action', 'family', 'scifi', 'animation', 'comedy', 'european']",6,7.1,11097
ts70909,2008,44,['reality'],1,5.1,54
ts20575,2006,45,"['drama', 'action', 'crime']",2,8.2,2164
ts18979,2009,44,"['romance', 'reality']",1,4.5,529
ts35004,2001,56,[],1,0.0,0
ts52849,2006,13,"['animation', 'comedy', 'family', 'fantasy', 'music', 'european']",5,6.4,1051
