,id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
2019,ts99530,2015,46,['documentation'],1.0,,
2023,ts35367,2015,17,"['animation', 'comedy', 'family', 'fantasy']",2.0,7.1,2223.0
2024,ts35862,2015,21,['comedy'],2.0,7.5,2670.0
2026,ts38209,2016,20,['comedy'],3.0,6.5,3472.0
2028,ts43396,2015,20,"['animation', 'family', 'fantasy']",4.0,5.1,525.0
2031,ts34709,2015,40,['comedy'],9.0,5.7,10454.0
2032,ts55961,2016,23,"['scifi', 'thriller', 'action', 'drama', 'horror']",2.0,6.1,2912.0
2033,ts21586,2015,21,['comedy'],3.0,6.3,9208.0
2035,ts37220,2015,21,"['animation', 'comedy', 'action', 'scifi', 'thriller']",1.0,6.9,2249.0
2038,ts89128,2015,21,['comedy'],4.0,8.0,462.0
2043,ts42220,2016,32,['comedy'],3.0,7.2,649.0
2046,ts53445,2016,23,['reality'],3.0,6.4,61.0
2049,ts42361,2015,49,['documentation'],1.0,8.6,1437.0
2056,ts38755,2016,22,"['comedy', 'scifi']",1.0,6.7,1615.0
2058,ts36461,2016,21,"['drama', 'comedy', 'fantasy']",1.0,6.2,2680.0
2059,ts42639,2016,45,"['documentation', 'war']",3.0,7.6,163.0
2063,ts38447,2015,16,"['animation', 'drama', 'comedy', 'family', 'music']",5.0,4.5,1481.0
2064,ts37995,2015,23,"['comedy', 'family']",3.0,4.3,2802.0
2070,ts37872,2015,46,['documentation'],1.0,8.3,39.0
2095,ts35273,2015,22,"['comedy', 'drama']",2.0,4.9,593.0
2097,ts37889,2015,24,"['scifi', 'drama', 'fantasy', 'comedy']",1.0,6.0,348.0
2098,ts42180,2016,22,"['drama', 'scifi', 'family', 'fantasy', 'comedy']",1.0,5.7,291.0
2111,ts43181,2015,22,"['comedy', 'family', 'fantasy', 'scifi', 'animation', 'action']",2.0,3.4,993.0
2112,ts58377,2015,50,['documentation'],7.0,,
2113,ts45492,2015,41,['reality'],8.0,4.8,194.0
