id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts87180,2012,15,['comedy'],1,7.2,44,max
ts20233,2013,22,"['animation', 'scifi', 'action', 'comedy']",6,9.1,540708,max
ts20054,2014,60,"['drama', 'crime', 'thriller']",4,8.9,583719,max
ts20735,2014,31,"['comedy', 'reality', 'history']",10,8.9,90706,max
ts20275,2014,58,"['scifi', 'drama', 'fantasy', 'thriller']",3,8.3,102051,max
ts13608,2013,51,"['drama', 'thriller', 'action', 'crime']",4,8.4,108017,max
ts9325,2013,44,['documentation'],12,8.8,6434,max
ts20760,2014,29,['comedy'],6,8.5,153896,max
ts37645,2013,25,"['documentation', 'comedy']",4,8.9,32715,max
ts20079,2014,11,"['scifi', 'comedy', 'fantasy', 'horror', 'thriller', 'action', 'animation', 'drama', 'family']",1,8.8,59611,max
ts20732,2014,54,"['drama', 'history']",2,8.5,49846,max
ts20292,2014,43,"['scifi', 'crime', 'drama', 'thriller', 'action']",5,7.8,233081,max
ts20113,2013,11,"['comedy', 'action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller', 'family']",6,8.2,35237,max
ts20303,2014,47,"['drama', 'thriller', 'crime', 'european']",5,8.7,41062,max
ts20287,2014,60,['drama'],1,8.3,23734,max
ts20255,2014,28,"['comedy', 'drama', 'romance']",2,8.2,20004,max
ts10932,2014,22,['comedy'],6,7.5,2425,max
ts35726,2013,16,"['scifi', 'comedy', 'action', 'family', 'crime', 'animation', 'fantasy']",8,5.4,22200,max
ts20367,2014,11,"['animation', 'comedy', 'horror']",4,7.3,9187,max
ts8959,2013,43,['reality'],5,8.1,3228,max
ts123577,2014,20,['family'],3,6.6,513,max
ts32076,2013,11,"['comedy', 'fantasy', 'animation']",4,7.8,2822,max
ts20349,2014,53,"['drama', 'thriller', 'crime', 'european']",3,8.7,10636,max
ts79014,2013,47,['documentation'],3,6.9,69,max
ts58470,2014,13,"['comedy', 'horror']",2,7.8,2437,max
ts44191,2014,38,"['thriller', 'drama', 'horror']",2,5.4,135,max
ts41319,2013,53,"['action', 'crime', 'drama', 'thriller']",4,8.2,993,max
ts222,2014,21,['comedy'],3,7.0,3653,max
ts20095,2013,28,['comedy'],3,7.8,3732,max
ts3139,2013,22,"['action', 'scifi', 'animation', 'crime', 'drama']",1,7.3,4410,max
ts11963,2014,14,"['comedy', 'family', 'animation']",3,6.8,10242,max
ts32574,2013,29,['comedy'],1,7.4,12946,max
ts35391,2013,53,"['drama', 'comedy']",4,8.0,1705,max
ts10750,2013,22,['comedy'],1,7.4,3560,max
ts57181,2014,24,"['comedy', 'family', 'european']",3,6.8,329,max
ts43915,2014,34,"['comedy', 'romance', 'european']",2,6.9,153,max
ts84205,2014,28,"['documentation', 'family']",1,6.6,53,max
ts87176,2014,51,['documentation'],1,7.0,7,max
ts38802,2016,65,"['thriller', 'drama', 'crime']",1,8.5,141124,max
ts21650,2015,45,"['documentation', 'crime']",1,8.6,47685,max
ts79258,2015,55,['reality'],6,8.6,1133,max
ts41288,2016,48,"['drama', 'thriller', 'crime']",2,8.0,11153,max
ts46210,2016,32,"['drama', 'comedy', 'romance']",5,8.0,19584,max
ts41158,2016,25,"['comedy', 'crime', 'drama', 'thriller', 'romance']",5,7.6,12212,max
ts138722,2015,36,"['documentation', 'reality']",1,5.6,27,max
ts38803,2016,31,['comedy'],2,8.0,27809,max
ts41827,2016,59,"['drama', 'european']",1,8.3,45112,max
ts38383,2015,23,"['comedy', 'history', 'documentation', 'animation']",3,8.1,7141,max
ts35552,2015,29,"['drama', 'comedy', 'sport']",5,7.6,45258,max
ts271031,2016,58,['documentation'],1,7.1,447,max
ts42041,2016,29,"['comedy', 'drama']",3,5.8,5,max
ts37956,2015,22,"['animation', 'thriller', 'family', 'comedy']",2,6.6,2539,max
ts38071,2015,23,"['comedy', 'european']",2,7.7,9903,max
ts236014,2015,43,[],1,0.0,0,max
ts36687,2015,13,"['comedy', 'family', 'fantasy', 'animation']",4,7.9,16747,max
ts41920,2016,23,"['comedy', 'documentation', 'drama']",4,8.1,9546,max
ts36418,2015,60,"['crime', 'war', 'history', 'drama']",1,8.0,11422,max
ts55614,2016,12,"['comedy', 'action', 'scifi', 'animation', 'family', 'documentation']",5,2.9,5154,max
ts42088,2016,22,['comedy'],8,5.9,6630,max
ts38806,2016,26,"['animation', 'comedy']",3,7.3,4060,max
