id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts32764,2007,29,"['animation', 'family']",3,6.7,459,amazon
ts17022,2007,24,"['animation', 'family']",2,6.4,154,amazon
ts13841,2005,46,"['comedy', 'family', 'reality', 'european']",6,5.0,4101,amazon
ts25762,2008,59,"['comedy', 'drama', 'scifi', 'crime']",1,7.1,233,amazon
ts250942,2010,12,[],1,0.0,0,amazon
ts79596,2003,73,[],1,0.0,0,amazon
ts78263,2004,73,"['drama', 'thriller', 'romance']",1,7.0,652,amazon
ts70119,2008,46,"['documentation', 'crime']",5,7.9,68,amazon
ts22345,2007,20,"['animation', 'scifi', 'action', 'comedy', 'family']",9,7.1,1312,amazon
ts34907,2003,24,"['comedy', 'animation', 'family', 'fantasy']",5,6.9,685,amazon
ts22217,2010,25,"['animation', 'family', 'comedy']",7,4.3,1828,amazon
ts56589,2010,11,"['animation', 'comedy', 'family']",6,5.3,165,amazon
ts5454,2005,24,"['animation', 'family']",4,6.3,394,amazon
ts43315,2004,15,"['animation', 'family']",2,7.5,74,amazon
ts20470,2008,22,"['action', 'comedy', 'scifi', 'fantasy', 'thriller', 'family', 'animation']",3,6.1,3554,amazon
ts15754,2004,45,"['drama', 'thriller', 'crime', 'history']",5,8.0,82,amazon
ts44876,2010,55,['documentation'],1,8.2,46,amazon
ts23319,2009,14,"['animation', 'comedy', 'family', 'fantasy', 'european']",3,6.8,1176,amazon
ts29084,2006,56,['drama'],2,0.0,0,amazon
ts20565,2008,25,"['comedy', 'drama', 'family']",3,5.9,3295,amazon
ts31593,2003,10,"['family', 'animation', 'action', 'scifi', 'comedy', 'fantasy']",7,6.4,104,amazon
ts30146,2010,62,"['comedy', 'romance']",1,7.1,3764,amazon
ts11630,2003,27,"['animation', 'family', 'comedy']",2,6.6,344,amazon
ts13494,2009,29,['documentation'],1,7.2,23,amazon
ts29171,2006,22,"['animation', 'comedy', 'family']",3,5.8,408,amazon
ts23689,2009,59,['documentation'],1,8.0,81,amazon
ts16544,2009,25,['family'],4,7.6,103,amazon
ts52515,2003,25,"['thriller', 'animation', 'horror']",1,7.1,270,amazon
ts1740,2001,15,"['action', 'animation', 'family', 'european']",3,5.6,484,amazon
ts63476,2008,28,['reality'],14,5.8,66,amazon
ts2943,2006,29,"['animation', 'family']",1,5.7,60,amazon
ts26043,2008,25,"['animation', 'drama', 'comedy', 'romance']",1,7.3,1666,amazon
ts13113,2009,15,"['family', 'european']",4,8.0,64,amazon
ts20508,2009,22,"['reality', 'comedy']",7,7.6,2819,amazon
ts26038,2008,13,"['animation', 'family']",3,6.8,105,amazon
ts23357,2009,53,"['documentation', 'reality']",2,6.8,41,amazon
ts21497,2010,43,['documentation'],1,6.8,32,amazon
ts37737,2001,24,"['scifi', 'action', 'animation', 'comedy', 'family']",3,6.7,2383,amazon
ts52082,2004,90,"['reality', 'music']",1,6.4,5,amazon
ts47142,2003,23,"['action', 'scifi', 'animation', 'comedy', 'fantasy']",1,6.9,1728,amazon
ts42557,2005,23,"['comedy', 'drama', 'romance', 'animation']",3,7.8,1300,amazon
ts76526,2009,22,"['animation', 'family', 'sport']",7,7.4,374,amazon
ts28813,2006,47,"['drama', 'comedy']",2,8.0,1074,amazon
ts25707,2008,44,['drama'],1,0.0,0,amazon
ts34890,2006,23,"['scifi', 'animation', 'family', 'fantasy']",1,7.3,852,amazon
ts68313,2007,19,"['family', 'european']",4,6.8,25,amazon
ts11110,2006,24,"['scifi', 'animation', 'action']",2,7.3,172,amazon
ts24545,2002,22,['reality'],12,6.1,134,amazon
ts44797,2010,7,['animation'],4,8.5,7,amazon
ts10058,2010,22,"['action', 'animation', 'family', 'documentation']",1,6.0,47,amazon
